roi_id,cell_label,cell_voxels,n_overlapping_markers,marker_label,overlap_voxels,overlap_fraction_of_cell,y_min,y_max,x_min,x_max
1,1,6251,2,3.0,807,0.1290993441049432,0,1944,0,2295
1,1,6251,2,2.0,132,0.021116621340585506,0,1944,0,2295
1,2,1846,1,2.0,627,0.33965330444203684,0,1944,0,2295
1,3,2832,1,4.0,1206,0.4258474576271186,0,1944,0,2295
1,4,8620,1,5.0,889,0.10313225058004641,0,1944,0,2295
1,5,11299,1,6.0,1001,0.08859191078856536,0,1944,0,2295
1,6,6027,1,9.0,561,0.09308113489298159,0,1944,0,2295
1,7,7013,1,8.0,701,0.09995722230144018,0,1944,0,2295
1,8,5025,1,11.0,758,0.1508457711442786,0,1944,0,2295
1,9,7276,2,10.0,1027,0.14114898295766906,0,1944,0,2295
1,9,7276,2,7.0,691,0.09496976360637713,0,1944,0,2295
1,10,8170,1,13.0,894,0.10942472460220318,0,1944,0,2295
1,11,4938,2,15.0,585,0.11846901579586877,0,1944,0,2295
1,11,4938,2,14.0,32,0.0064803564196030785,0,1944,0,2295
1,12,3928,3,16.0,589,0.149949083503055,0,1944,0,2295
1,12,3928,3,14.0,523,0.13314663951120162,0,1944,0,2295
1,12,3928,3,15.0,38,0.009674134419551934,0,1944,0,2295
1,13,4284,0,,0,0.0,0,1944,0,2295
1,14,5936,1,17.0,748,0.12601078167115903,0,1944,0,2295
1,15,4861,0,,0,0.0,0,1944,0,2295
1,16,7364,1,18.0,681,0.09247691472026073,0,1944,0,2295
1,17,1807,0,,0,0.0,0,1944,0,2295
1,18,11104,3,28.0,1140,0.1026657060518732,0,1944,0,2295
1,18,11104,3,23.0,912,0.08213256484149856,0,1944,0,2295
1,18,11104,3,30.0,490,0.04412824207492795,0,1944,0,2295
1,19,7741,4,21.0,729,0.09417387934375404,0,1944,0,2295
1,19,7741,4,20.0,556,0.07182534556258881,0,1944,0,2295
1,19,7741,4,27.0,554,0.0715669810102054,0,1944,0,2295
1,19,7741,4,19.0,499,0.06446195581966155,0,1944,0,2295
1,20,19333,4,29.0,1221,0.06315626131485026,0,1944,0,2295
1,20,19333,4,25.0,1040,0.05379403093156779,0,1944,0,2295
1,20,19333,4,31.0,993,0.05136295453369886,0,1944,0,2295
